2020-05-24 20:38:57,968 Model(
  (ad_id_embedding): Embedding(579847, 256, padding_idx=0)
  (product_id_embedding): Embedding(11108, 256, padding_idx=0)
  (product_category_embedding): Embedding(20, 8, padding_idx=0)
  (advertiser_id_embedding): Embedding(24366, 256, padding_idx=0)
  (industry_embedding): Embedding(302, 32, padding_idx=0)
  (fc): Sequential(
    (0): Dropout(p=0.3)
    (1): Linear(in_features=808, out_features=2, bias=True)
  )
)
2020-05-24 20:39:10,662 start loading data ...
2020-05-24 20:41:32,842 load data success, Time usage: 0:02:22
2020-05-24 20:41:32,846 Epoch [1/5]
2020-05-24 20:41:52,209 Iter:      0,  Train Loss: 0.681,  Train Acc: 62.50%,  Val Loss: 0.682,  Val Acc: 62.78%,  Val Auc: 0.4966,  Time: 0:00:19 *
2020-05-24 20:42:12,803 Iter:    100,  Train Loss: 0.597,  Train Acc: 70.31%,  Val Loss: 0.613,  Val Acc: 67.59%,  Val Auc: 0.6703,  Time: 0:00:40 *
2020-05-24 20:42:33,137 Iter:    200,  Train Loss: 0.577,  Train Acc: 66.41%,  Val Loss: 0.568,  Val Acc: 69.63%,  Val Auc:  0.787,  Time: 0:01:00 *
2020-05-24 20:42:54,627 Iter:    300,  Train Loss: 0.509,  Train Acc: 74.22%,  Val Loss: 0.525,  Val Acc: 74.53%,  Val Auc: 0.8498,  Time: 0:01:22 *
2020-05-24 20:43:15,098 Iter:    400,  Train Loss: 0.453,  Train Acc: 81.25%,  Val Loss: 0.483,  Val Acc: 79.72%,  Val Auc: 0.8819,  Time: 0:01:42 *
2020-05-24 20:43:34,534 Iter:    500,  Train Loss: 0.429,  Train Acc: 83.59%,  Val Loss: 0.448,  Val Acc: 82.21%,  Val Auc: 0.8986,  Time: 0:02:02 *
2020-05-24 20:43:55,833 Iter:    600,  Train Loss: 0.395,  Train Acc: 85.16%,  Val Loss: 0.419,  Val Acc: 84.12%,  Val Auc: 0.9115,  Time: 0:02:23 *
2020-05-24 20:44:14,924 Iter:    700,  Train Loss: 0.406,  Train Acc: 82.03%,  Val Loss: 0.395,  Val Acc: 85.10%,  Val Auc: 0.9197,  Time: 0:02:42 *
2020-05-24 20:44:33,807 Iter:    800,  Train Loss: 0.418,  Train Acc: 83.59%,  Val Loss: 0.376,  Val Acc: 86.04%,  Val Auc: 0.9265,  Time: 0:03:01 *
2020-05-24 20:44:56,866 Iter:    900,  Train Loss: 0.321,  Train Acc: 92.97%,  Val Loss:  0.36,  Val Acc: 87.01%,  Val Auc: 0.9314,  Time: 0:03:24 *
2020-05-24 20:45:18,591 Iter:   1000,  Train Loss: 0.423,  Train Acc: 84.38%,  Val Loss: 0.348,  Val Acc: 87.74%,  Val Auc: 0.9361,  Time: 0:03:46 *
