2020-05-24 23:31:47,641 Model(
  (ad_id_embedding): Embedding(579847, 256)
  (product_id_embedding): Embedding(11108, 256)
  (product_category_embedding): Embedding(20, 8, padding_idx=0)
  (advertiser_id_embedding): Embedding(24366, 256)
  (industry_embedding): Embedding(302, 32, padding_idx=0)
  (gru): GRU(808, 128, num_layers=2, batch_first=True, dropout=0.5, bidirectional=True)
  (fc): Sequential(
    (0): Linear(in_features=256, out_features=128, bias=True)
    (1): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): LeakyReLU(negative_slope=0.01, inplace)
    (3): Linear(in_features=128, out_features=10, bias=True)
  )
)
2020-05-24 23:31:56,902 start loading data ...
2020-05-24 23:33:39,086 load data success, Time usage: 0:01:42
2020-05-24 23:33:39,174 Epoch [1/5]
2020-05-24 23:33:57,060 Iter:      0,  Train Loss:  2.44,  Train Acc:  8.59%,  Val Loss:   2.3,  Val Acc: 14.50%,  Val Auc:    0.0,  Time: 0:00:18 *
2020-05-24 23:34:18,833 Iter:    100,  Train Loss:  2.06,  Train Acc: 19.53%,  Val Loss:  1.97,  Val Acc: 23.17%,  Val Auc:    0.0,  Time: 0:00:40 *
2020-05-24 23:34:40,659 Iter:    200,  Train Loss:  1.88,  Train Acc: 25.78%,  Val Loss:  1.92,  Val Acc: 24.18%,  Val Auc:    0.0,  Time: 0:01:02 *
2020-05-24 23:35:01,215 Iter:    300,  Train Loss:  1.99,  Train Acc: 21.09%,  Val Loss:  1.89,  Val Acc: 24.99%,  Val Auc:    0.0,  Time: 0:01:22 *
2020-05-24 23:35:22,139 Iter:    400,  Train Loss:   1.9,  Train Acc: 26.56%,  Val Loss:  1.87,  Val Acc: 25.67%,  Val Auc:    0.0,  Time: 0:01:43 *
2020-05-24 23:35:39,838 Iter:    500,  Train Loss:  1.87,  Train Acc: 23.44%,  Val Loss:  1.87,  Val Acc: 25.09%,  Val Auc:    0.0,  Time: 0:02:01 
2020-05-24 23:36:00,357 Iter:    600,  Train Loss:  1.83,  Train Acc: 22.66%,  Val Loss:  1.86,  Val Acc: 26.74%,  Val Auc:    0.0,  Time: 0:02:21 *
2020-05-24 23:36:21,407 Iter:    700,  Train Loss:  1.75,  Train Acc: 33.59%,  Val Loss:  1.83,  Val Acc: 26.63%,  Val Auc:    0.0,  Time: 0:02:42 *
2020-05-24 23:36:42,059 Iter:    800,  Train Loss:  1.95,  Train Acc: 19.53%,  Val Loss:  1.82,  Val Acc: 27.44%,  Val Auc:    0.0,  Time: 0:03:03 *
2020-05-24 23:37:02,655 Iter:    900,  Train Loss:  1.77,  Train Acc: 34.38%,  Val Loss:  1.82,  Val Acc: 27.86%,  Val Auc:    0.0,  Time: 0:03:24 *
2020-05-24 23:37:20,546 Iter:   1000,  Train Loss:  1.83,  Train Acc: 28.12%,  Val Loss:  1.82,  Val Acc: 27.60%,  Val Auc:    0.0,  Time: 0:03:41 
2020-05-24 23:37:41,119 Iter:   1100,  Train Loss:  1.79,  Train Acc: 25.00%,  Val Loss:   1.8,  Val Acc: 28.09%,  Val Auc:    0.0,  Time: 0:04:02 *
2020-05-24 23:38:01,609 Iter:   1200,  Train Loss:  1.78,  Train Acc: 28.91%,  Val Loss:   1.8,  Val Acc: 28.09%,  Val Auc:    0.0,  Time: 0:04:23 *
2020-05-24 23:38:23,344 Iter:   1300,  Train Loss:  1.84,  Train Acc: 21.88%,  Val Loss:  1.79,  Val Acc: 28.05%,  Val Auc:    0.0,  Time: 0:04:44 *
2020-05-24 23:38:40,937 Iter:   1400,  Train Loss:  1.74,  Train Acc: 32.03%,  Val Loss:  1.81,  Val Acc: 27.57%,  Val Auc:    0.0,  Time: 0:05:02 
2020-05-24 23:39:01,962 Iter:   1500,  Train Loss:  1.77,  Train Acc: 29.69%,  Val Loss:  1.79,  Val Acc: 28.46%,  Val Auc:    0.0,  Time: 0:05:23 *
2020-05-24 23:39:20,522 Iter:   1600,  Train Loss:  1.86,  Train Acc: 25.00%,  Val Loss:   1.8,  Val Acc: 28.01%,  Val Auc:    0.0,  Time: 0:05:41 
2020-05-24 23:39:38,418 Iter:   1700,  Train Loss:  1.78,  Train Acc: 25.00%,  Val Loss:   1.8,  Val Acc: 28.52%,  Val Auc:    0.0,  Time: 0:05:59 
2020-05-24 23:39:58,954 Iter:   1800,  Train Loss:  1.67,  Train Acc: 39.06%,  Val Loss:  1.78,  Val Acc: 28.76%,  Val Auc:    0.0,  Time: 0:06:20 *
2020-05-24 23:40:19,821 Iter:   1900,  Train Loss:  1.75,  Train Acc: 27.34%,  Val Loss:  1.78,  Val Acc: 28.69%,  Val Auc:    0.0,  Time: 0:06:41 *
2020-05-24 23:40:40,429 Iter:   2000,  Train Loss:  1.75,  Train Acc: 31.25%,  Val Loss:  1.77,  Val Acc: 29.04%,  Val Auc:    0.0,  Time: 0:07:01 *
2020-05-24 23:41:02,331 Iter:   2100,  Train Loss:  1.68,  Train Acc: 30.47%,  Val Loss:  1.77,  Val Acc: 29.02%,  Val Auc:    0.0,  Time: 0:07:23 *
