2020-05-25 02:46:04,957 Model(
  (ad_id_embedding): Embedding(579847, 256, padding_idx=0)
  (product_id_embedding): Embedding(11108, 256, padding_idx=0)
  (advertiser_id_embedding): Embedding(24366, 256, padding_idx=0)
  (industry_embedding): Embedding(302, 32, padding_idx=0)
  (position_encoding): PositionalEncoding(
    (dropout): Dropout(p=0.1)
  )
  (encoder): Encoder(
    (attention): MultiHeadAttention(
      (fc_Q): Linear(in_features=800, out_features=800, bias=True)
      (fc_K): Linear(in_features=800, out_features=800, bias=True)
      (fc_V): Linear(in_features=800, out_features=800, bias=True)
      (fc): Linear(in_features=800, out_features=800, bias=True)
      (dropout): Dropout(p=0.1)
      (layer_norm): LayerNorm(torch.Size([800]), eps=1e-05, elementwise_affine=True)
    )
    (feed_forward): PositionWiseFeedForward(
      (fc): Sequential(
        (0): Linear(in_features=800, out_features=512, bias=True)
        (1): LeakyReLU(negative_slope=0.01, inplace)
        (2): Linear(in_features=512, out_features=800, bias=True)
        (3): Dropout(p=0.2)
      )
      (layer_norm): LayerNorm(torch.Size([800]), eps=1e-05, elementwise_affine=True)
    )
  )
  (fc): Sequential(
    (0): Linear(in_features=800, out_features=128, bias=True)
    (1): LeakyReLU(negative_slope=0.01, inplace)
    (2): Linear(in_features=128, out_features=10, bias=True)
  )
)
2020-05-25 02:46:05,374 start loading data ...
2020-05-25 02:47:44,092 load data success, Time usage: 0:01:39
2020-05-25 02:47:44,096 Epoch [1/5]
2020-05-25 02:48:02,392 Iter:      0,  Train Loss:  2.37,  Train Acc: 12.50%,  Val Loss:  4.28,  Val Acc: 22.60%,  Val Auc:    0.0,  Time: 0:00:18 *
2020-05-25 02:48:26,440 Iter:    100,  Train Loss:  2.07,  Train Acc: 15.62%,  Val Loss:  2.04,  Val Acc: 20.63%,  Val Auc:    0.0,  Time: 0:00:42 *
2020-05-25 02:48:50,396 Iter:    200,  Train Loss:  2.07,  Train Acc: 21.09%,  Val Loss:  2.03,  Val Acc: 22.30%,  Val Auc:    0.0,  Time: 0:01:06 *
2020-05-25 02:49:14,634 Iter:    300,  Train Loss:  2.01,  Train Acc: 17.97%,  Val Loss:  1.92,  Val Acc: 25.56%,  Val Auc:    0.0,  Time: 0:01:31 *
2020-05-25 02:49:37,816 Iter:    400,  Train Loss:  1.84,  Train Acc: 32.03%,  Val Loss:  1.84,  Val Acc: 27.02%,  Val Auc:    0.0,  Time: 0:01:54 *
2020-05-25 02:50:07,951 Iter:    500,  Train Loss:  1.87,  Train Acc: 20.31%,  Val Loss:   1.8,  Val Acc: 28.32%,  Val Auc:    0.0,  Time: 0:02:24 *
2020-05-25 02:50:31,661 Iter:    600,  Train Loss:  1.78,  Train Acc: 34.38%,  Val Loss:  1.77,  Val Acc: 30.11%,  Val Auc:    0.0,  Time: 0:02:48 *
2020-05-25 02:50:56,190 Iter:    700,  Train Loss:  1.68,  Train Acc: 32.03%,  Val Loss:  1.75,  Val Acc: 30.79%,  Val Auc:    0.0,  Time: 0:03:12 *
2020-05-25 02:51:20,471 Iter:    800,  Train Loss:  1.86,  Train Acc: 25.00%,  Val Loss:   1.7,  Val Acc: 31.85%,  Val Auc:    0.0,  Time: 0:03:36 *
2020-05-25 02:51:43,678 Iter:    900,  Train Loss:   1.7,  Train Acc: 33.59%,  Val Loss:  1.67,  Val Acc: 32.96%,  Val Auc:    0.0,  Time: 0:04:00 *
2020-05-25 02:52:07,120 Iter:   1000,  Train Loss:  1.69,  Train Acc: 31.25%,  Val Loss:  1.64,  Val Acc: 34.08%,  Val Auc:    0.0,  Time: 0:04:23 *
